id,code,name,province_id/id
pe_district_010101,010101,CHACHAPOYAS,pe_province_0101
pe_district_010102,010102,ASUNCION,pe_province_0101
pe_district_010103,010103,BALSAS,pe_province_0101
pe_district_010104,010104,CHETO,pe_province_0101
pe_district_010105,010105,CHILIQUIN,pe_province_0101
pe_district_010106,010106,CHUQUIBAMBA,pe_province_0101
pe_district_010107,010107,GRANADA,pe_province_0101
pe_district_010108,010108,HUANCAS,pe_province_0101
pe_district_010109,010109,LA JALCA,pe_province_0101
pe_district_010110,010110,LEIMEBAMBA,pe_province_0101
pe_district_010111,010111,LEVANTO,pe_province_0101
pe_district_010112,010112,MAGDALENA,pe_province_0101
pe_district_010113,010113,MARISCAL CASTILLA,pe_province_0101
pe_district_010114,010114,MOLINOPAMPA,pe_province_0101
pe_district_010115,010115,MONTEVIDEO,pe_province_0101
pe_district_010116,010116,OLLEROS,pe_province_0101
pe_district_010117,010117,QUINJALCA,pe_province_0101
pe_district_010118,010118,SAN FRANCISCO DE DAGUAS,pe_province_0101
pe_district_010119,010119,SAN ISIDRO DE MAINO,pe_province_0101
pe_district_010120,010120,SOLOCO,pe_province_0101
pe_district_010121,010121,SONCHE,pe_province_0101
pe_district_010201,010201,BAGUA,pe_province_0102
pe_district_010202,010202,ARAMANGO,pe_province_0102
pe_district_010203,010203,COPALLIN,pe_province_0102
pe_district_010204,010204,EL PARCO,pe_province_0102
pe_district_010205,010205,IMAZA,pe_province_0102
pe_district_010206,010206,LA PECA,pe_province_0102
pe_district_010301,010301,JUMBILLA,pe_province_0103
pe_district_010302,010302,CHISQUILLA,pe_province_0103
pe_district_010303,010303,CHURUJA,pe_province_0103
pe_district_010304,010304,COROSHA,pe_province_0103
pe_district_010305,010305,CUISPES,pe_province_0103
pe_district_010306,010306,FLORIDA,pe_province_0103
pe_district_010307,010307,JAZAN,pe_province_0103
pe_district_010308,010308,RECTA,pe_province_0103
pe_district_010309,010309,SAN CARLOS,pe_province_0103
pe_district_010310,010310,SHIPASBAMBA,pe_province_0103
pe_district_010311,010311,VALERA,pe_province_0103
pe_district_010312,010312,YAMBRASBAMBA,pe_province_0103
pe_district_010401,010401,NIEVA,pe_province_0104
pe_district_010402,010402,EL CENEPA,pe_province_0104
pe_district_010403,010403,RIO SANTIAGO,pe_province_0104
pe_district_010501,010501,LAMUD,pe_province_0105
pe_district_010502,010502,CAMPORREDONDO,pe_province_0105
pe_district_010503,010503,COCABAMBA,pe_province_0105
pe_district_010504,010504,COLCAMAR,pe_province_0105
pe_district_010505,010505,CONILA,pe_province_0105
pe_district_010506,010506,INGUILPATA,pe_province_0105
pe_district_010507,010507,LONGUITA,pe_province_0105
pe_district_010508,010508,LONYA CHICO,pe_province_0105
pe_district_010509,010509,LUYA,pe_province_0105
pe_district_010510,010510,LUYA VIEJO,pe_province_0105
pe_district_010511,010511,MARIA,pe_province_0105
pe_district_010512,010512,OCALLI,pe_province_0105
pe_district_010513,010513,OCUMAL,pe_province_0105
pe_district_010514,010514,PISUQUIA,pe_province_0105
pe_district_010515,010515,PROVIDENCIA,pe_province_0105
pe_district_010516,010516,SAN CRISTOBAL,pe_province_0105
pe_district_010517,010517,SAN FRANCISCO DEL YESO,pe_province_0105
pe_district_010518,010518,SAN JERONIMO,pe_province_0105
pe_district_010519,010519,SAN JUAN DE LOPECANCHA,pe_province_0105
pe_district_010520,010520,SANTA CATALINA,pe_province_0105
pe_district_010521,010521,SANTO TOMAS,pe_province_0105
pe_district_010522,010522,TINGO,pe_province_0105
pe_district_010523,010523,TRITA,pe_province_0105
pe_district_010601,010601,SAN NICOLAS,pe_province_0106
pe_district_010602,010602,CHIRIMOTO,pe_province_0106
pe_district_010603,010603,COCHAMAL,pe_province_0106
pe_district_010604,010604,HUAMBO,pe_province_0106
pe_district_010605,010605,LIMABAMBA,pe_province_0106
pe_district_010606,010606,LONGAR,pe_province_0106
pe_district_010607,010607,MARISCAL BENAVIDES,pe_province_0106
pe_district_010608,010608,MILPUC,pe_province_0106
pe_district_010609,010609,OMIA,pe_province_0106
pe_district_010610,010610,SANTA ROSA,pe_province_0106
pe_district_010611,010611,TOTORA,pe_province_0106
pe_district_010612,010612,VISTA ALEGRE,pe_province_0106
pe_district_010701,010701,BAGUA GRANDE,pe_province_0107
pe_district_010702,010702,CAJARURO,pe_province_0107
pe_district_010703,010703,CUMBA,pe_province_0107
pe_district_010704,010704,EL MILAGRO,pe_province_0107
pe_district_010705,010705,JAMALCA,pe_province_0107
pe_district_010706,010706,LONYA GRANDE,pe_province_0107
pe_district_010707,010707,YAMON,pe_province_0107
pe_district_020101,020101,HUARAZ,pe_province_0201
pe_district_020102,020102,COCHABAMBA,pe_province_0201
pe_district_020103,020103,COLCABAMBA,pe_province_0201
pe_district_020104,020104,HUANCHAY,pe_province_0201
pe_district_020105,020105,INDEPENDENCIA,pe_province_0201
pe_district_020106,020106,JANGAS,pe_province_0201
pe_district_020107,020107,LA LIBERTAD,pe_province_0201
pe_district_020108,020108,OLLEROS,pe_province_0201
pe_district_020109,020109,PAMPAS,pe_province_0201
pe_district_020110,020110,PARIACOTO,pe_province_0201
pe_district_020111,020111,PIRA,pe_province_0201
pe_district_020112,020112,TARICA,pe_province_0201
pe_district_020201,020201,AIJA,pe_province_0202
pe_district_020202,020202,CORIS,pe_province_0202
pe_district_020203,020203,HUACLLAN,pe_province_0202
pe_district_020204,020204,LA MERCED,pe_province_0202
pe_district_020205,020205,SUCCHA,pe_province_0202
